,price,surface,localisation,description,link
1,1 400 €,50 m² de surface, Paris 15ème (75),"METRO PLAISANCE - RUE DE CASTAGNARY

Au 2ème étage avec ascenseur d'une copropriété récente, un appartement de deux pièces de 50 m² très bien entretenu loué vide composé d'une entrée avec placard, une séjour prolongé d'un balconnet, une cuisine indépendante aménagée et équipée, une chambre avec terrasse, une salle de bains et WC séparés.

Chauffage et eau chaude collectifs

Un box en sous-sol complète cette offre

Libre le 31 octobre",https://immobilier.lefigaro.fr/annonces/annonce-48779416.html
2,1 330 €,37 m² de surface, Paris 3ème (75),"METRO ARTS ET METIERS. RUE DU TEMPLE

Au 5ème étage avec ascenseur d'un immeuble ancien de caractère, un appartement de deux pièces de 37 m² composé d'une entrée, un séjour, une cuisine indépendante, une chambre et une salle de douche et WC séparés. 

Appartement en très bon état avec double vitrage. 

Chauffage individuel électrique.

Libre de suite",https://immobilier.lefigaro.fr/annonces/annonce-48779358.html
3,1 315 €,33 m² de surface, Paris 11ème (75),"METRO CHARONNE - RUE RICHARD LENOIR

Dans un bel immeuble, au 3ème étage sans ascenseur, un appartement de deux pièces de 33m² meublé composé d'une entrée, un séjour avec cuisine ouverte aménagée et équipée, une chambre, une salle de douche et WC séparés. 

Chauffage individuel electrique

Libre de suite",https://immobilier.lefigaro.fr/annonces/annonce-48779292.html
4,1 600 €,40 m² de surface, Paris 2ème (75),"Rue de Richelieu, 40 m², au 4ème étage sans ascenseur d'un bel immeuble ancien, entrée, séjour / salle à manger , 1 chambre (lit double), salle de douche moderne avec WC, cuisine séparée et équipée (LV, LL, fours) ; chauffage électrique, mobilier contemporain, rangements, emplacement central, trés bon état, parquet, lumineux, bien exposé Honoraires dus par le locataire selon durée du bail : Bail moins d'un an : 1 mois de loyer + TVA. Autre bail : 12% du loyer annuel + TVA, --AUTRES APTS MEUBLES CHEZ CAPITALE PARTNERS, capitale-partners.com, pages Annonces--. Honoraires dus par le locataire se…",https://immobilier.lefigaro.fr/annonces/annonce-48767628.html
5,1 700 €,37.7 m² de surface, Paris 7ème (75),"Avenue de Breteuil, au calme sur vaste cour, au sixième étage avec ascenseur d'un immeuble en pierre de taille et en brique, construit en 1934, bel appartement meublé, refait à neuf de 37.7 m2.

Cet appartement se compose d'une entrée avec placard et penderie, d'un séjour lumineux, exposé au sud, d'une cuisine aménagée et équipée, d'une chambre avec dressing et d'une salle de douche / toilettes. Appartement refait à neuf.

Chauffage collectif et eau chaude individuelle électrique. Le loyer principal est de 1 577€ dont 106.70 € de complément de loyer. 

En cas de bail code civil, les honoraires…",https://immobilier.lefigaro.fr/annonces/annonce-48767594.html
6,1 050 €,38.25 m² de surface, Paris 18ème (75),"Rue Philippe de Girard. Au 1er étage d'un immeuble bien entretenu, appartement F1 meublé comprenant une entrée, un séjour avec cuisine ouverte, un coin chambre avec nombreux rangements et une salle d'eau avec wc.",https://immobilier.lefigaro.fr/annonces/annonce-48766424.html
7,980 €,37 m² de surface, Paris 18ème (75),"iad France - Guillaume DUCHESNE (
contactez l’annonceur
) vous propose : Paris 18ème, Barbès-Marcadet.
Très au calme et lumineux, cet appartement de 37m2 environ en très bon état général, doté de fenêtres récentes en double vitrage, situé au 4ème étage sans ascenseur propose 2 pièces dont une chambre de 12m2 environ carrez, une cuisine séparée avec rangements et plaque de cuisson neuve, une salle de bain avec placards, des wc séparés. Chauffage électrique individuel récent. Une cave et un rangement vélo en extérieur complètent l'ensemble.
L’appartement au pied du métro de la station Marcadet-Poissonnie…",https://immobilier.lefigaro.fr/annonces/annonce-48763596.html
8,1 850 €,48 m² de surface, Paris 16ème (75),"Au 3, rue d'Auteuil, place de l'église, un 2 pièces meublé tout équipé situé au 7 ème étage par ascenseur avec vue imprenable sur Paris et sur la tour Eiffel. L'appartement est clair et très lumineux, il se compose d'une entrée avec rangements, un séjour avec balcon-terrasse, une chambre avec placard et cheminée, une cuisine indépendante aménagée et équipée, une salle de bains avec douche et baignoire et un wc indépendant. Chauffage individuel et climatisation réversible. Une cave complète ce bien. A visiter sans tarder! Honoraires bail code civil : 15% du loyer annuel hors charges / honoraire…",https://immobilier.lefigaro.fr/annonces/annonce-48759716.html
9,1 170 €,35.14 m² de surface, Paris 13ème (75),"APPARTEMENT 2 PIÈCES Calme et ensoleillé - INTÉRIEUR EN BON ÉTAT En location : à deux pas du métro Corvisart (ligne 6) ou place d'Italie à PARIS (75013), venez découvrir cet appartement T2 au calme de 35,14 m² au rez-de-chaussée coté cour calme et ensoleillé, Il est organisé comme suit : une entrée, un salon 19,81M², une chambre de 8,33M² une cuisine , une salle d'eau avec wc. L'appartement est équipé de radiateurs électriques. Le chauffage est individuel. Cet appartement est situé dans une petite résidence ancienne. Le bâtiment comporte trois étages. L'intérieur de l'appartement est en …",https://immobilier.lefigaro.fr/annonces/annonce-48759648.html
10,1 500 €,49 m² de surface, Paris 15ème (75),"PARIS XVème .Quartier Ségur. Le Cabinet Roche vous présente à la location, dans un immeuble moderne sécurisé avec gardien, ce beau 2 pièces meublé situé au 4ème étage bénéficiant d'un ascenseur, au calme et ensoleillé . Il est composé : d'une entrée, un grand séjour de 28m² s'ouvrant sur une cuisine équipée et aménagée, une chambre, un wc séparé une salle d'eau, une buanderie, une cave complète ce bien. Chauffage et eau chaude collectif. Emplacement privilégie, a proximité de toutes commodités. En cas de bail (code civil au nom d'une société ou d'une résidence secondaire) les honoraires à la c…",https://immobilier.lefigaro.fr/annonces/annonce-48759614.html
11,1 267 €,36.4 m² de surface, Paris 2ème (75),"Métro Strasbourg St Denis, rue Saint Denis, au 4ème étage sur cour 2/3 pièces : séjour-avec kitchenette semi-équipée, chambre, Bureau, salle d'eau-wc, carrelage, fenêtres Pvc double vitrage. Libre de suite.",https://immobilier.lefigaro.fr/annonces/annonce-48759612.html
12,1 040 €,30.74 m² de surface, Paris 16ème (75),"Au 7ème et dernier étage avec ascenseur d'un magnifique immeuble en pierre de Taille avec gardien, studio meublé en bon état idéalement agencé. Séjour avec cuisine ouverte équipée (plaques de cuisson, réfrigérateur et four micro-ondes ), coin chambre, salle de bains avec lave-linge et WC. Nombreux rangements. Calme et ensoleillé. Proche de l'université Paris-Dauphine. Honoraires de rédaction : 461,10euros TTC à la charge du locataire. 
EXCLUSIVITÉ ERNEST et ASSOCIÉS 
Contact Frédéric :
contactez l’annonceur",https://immobilier.lefigaro.fr/annonces/annonce-48759008.html
13,1 353 €,41 m² de surface, Paris 12ème (75),"Appartement 2 pièces - M° Gare de Lyon. Au 4ème étage avec ascenseur d'un bel immeuble, un appartement bien distribué composé d'une entrée avec placard, d'un salon, d'une chambre, d'une cuisine aménagée (non équipée) sur rue, d'une salle d'eau et de wc séparés.. Ensoleillé, calme, parquet, . Chauffage collectif + eau individuel électrique. . Codes et gardien. Libre semaine du 17 octobre.",https://immobilier.lefigaro.fr/annonces/annonce-48741148.html
14,1 253 €,46.5 m² de surface, Paris 11ème (75),"Contact : Justine Puente UNIQUEMENT PAR SMS au
contactez l’annonceur
. Exclusivité ORPI, un très beau 2 pièces de 46.50 m² situé au 1er étage avec ascenseur d'une résidence calme 2 bis impasse Morlet 75011 PARIS . Il est composé d'une entrée, d'une grande pièce de séjour, d'une cuisine séparée, aménagée et équipée (hotte, plaques de cuisson, four intégré, lave vaisselle intégré et nombreux rangements), d'une salle de bains, d'un WC séparé et d'une chambre avec grand placard de rangement. Chauffage individuel chaudière gaz. Disponible le 1er novembre 2022.. Loyer 1149 euros + 104 euros de charges = 1…",https://immobilier.lefigaro.fr/annonces/annonce-48741114.html
15,1 340 €,38.02 m² de surface, Paris 11ème (75),"Contact : Justine Puente UNIQUEMENT PAR SMS au
contactez l’annonceur
.. En exclusivité ORPI, nous vous proposons un beau 2 pièces de 38.02m2 ENTIEREMENT REFAIT A NEUF, à louer en bail MEUBLÉ, et situé au 1er étage sans ascenseur d'un immeuble sécurisé 125 rue de Montreuil 75011 Paris. Il comprend une entrée, un séjour avec cuisine ouverte aménagée et équipée (plaques de cuisson, hotte, four, lave vaisselle, micro-onde, réfrigérateur/congélateur), une chambre et une salle d'eau avec douche, WC et lave linge. Une cave est mise à disposition. . Loyer 1300euros + 40euros = 1340euros charges comprises.. C…",https://immobilier.lefigaro.fr/annonces/annonce-48741112.html
16,1 300 €,42 m² de surface, Paris 18ème (75),"Rue Lamarck, à 2 pas du métro, dans un très bel immeuble ancien. Un appartement de 2 pièces, avec le charme de l'ancien (dressing).

Bail meublé d'un an. Disponible fin octobre.",https://immobilier.lefigaro.fr/annonces/annonce-48774214.html
17,1 560 €,39.3 m² de surface, Paris 8ème (75),"Rue de Berri, au 2ème étage, avec ASCENSEUR, d'un immeuble avec gardien, studio de 39,30m² comprenant une pièce à vivre, une cuisine ouverte équipée et aménagée (combiné réfrigérateur-congélateur, une plaque à induction, une hotte, un four, un four à micro-ondes), une salle de douche équipée d'un lave-linge avec WC, Une cave complète ce bien. Interphone, visiophone, gardien, porte blindée. CALME - CLAIR - NOMBREUX PLACARDS - DOUBLE VITRAGE - VOLETS ÉLECTRIQUES. Contact : Sophie SLAKMON
contactez l’annonceur",https://immobilier.lefigaro.fr/annonces/annonce-48749970.html
